Star Wars: Episode IV - A New Hope, 1977, Action, Luke Skywalker joins forces with a Jedi Knight a cocky pilot a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station while also attempting to rescue Princess Leia from the evil Darth Vader., https://images-na.ssl-images-amazon.com/images/M/MV5BYzQ2OTk4N2QtOGQwNy00MmI3LWEwNmEtOTk0OTY3NDk2MGJkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
A Beautiful Mind, 2001, Biography, After John Nash a brilliant but asocial mathematician accepts secret work in cryptography his life takes a turn for the nightmarish., https://images-na.ssl-images-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Requiem for a Dream, 2000, Drama, The drug-induced utopias of four Coney Island people are shattered when their addictions run deep., https://images-na.ssl-images-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
A Clockwork Orange, 1971, Crime, In future Britain Alex DeLarge a charismatic and psycopath delinquent who likes to practice crimes and ultra-violence with his gang is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan., https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SX300.jpg
12 Years a Slave, 2013, Biography, In the antebellum United States Solomon Northup a free black man from upstate New York is abducted and sold into slavery., https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg
2001: A Space Odyssey, 1968, Adventure, Humanity finds a mysterious obviously artificial object buried beneath the Lunar surface and with the intelligent computer H.A.L. 9000 sets off on a quest., https://images-na.ssl-images-amazon.com/images/M/MV5BMTZkZTBhYmUtMTIzNy00YTViLTg1OWItNGUwMmVlN2FjZTVkXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg
The Perks of Being a Wallflower, 2012, Drama, An introvert freshman is taken under the wings of two seniors who welcome him to the real world., https://images-na.ssl-images-amazon.com/images/M/MV5BMzIxOTQyODU1OV5BMl5BanBnXkFtZTcwMDQ4Mjg4Nw@@._V1_SX300.jpg
Sherlock Holmes: A Game of Shadows, 2011, Action, Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary Professor Moriarty., https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMzQ5Njk1MF5BMl5BanBnXkFtZTcwNjIxNzIxNw@@._V1_SX300.jpg
Die Hard with a Vengeance, 1995, Action, John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City where he plans to rob the Federal Reserve Building., https://images-na.ssl-images-amazon.com/images/M/MV5BZjI0ZWFiMmQtMjRlZi00ZmFhLWI4NmYtMjQ5YmY0MzIyMzRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
It's a Wonderful Life, 1946, Drama, An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed., https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzMzY5NDc4M15BMl5BanBnXkFtZTcwMzc4NjIxNw@@._V1_SX300.jpg
